O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-2031.00,Public Relations and Fundraising Managers,Adobe Systems Adobe Distiller,43232112,Desktop publishing ,N
11-2031.00,Public Relations and Fundraising Managers,Apple iDVD,43232103,Video creation and editing ,N
11-2031.00,Public Relations and Fundraising Managers,Blackbaud eTapestry,43232303,Customer relationship management CRM ,N
11-2031.00,Public Relations and Fundraising Managers,Google Gmail,43233501,Electronic mail ,N
11-2031.00,Public Relations and Fundraising Managers,Instagram PeopleMap,43231514,Sales and marketing ,N
11-2031.00,Public Relations and Fundraising Managers,Novell GroupWise,43233501,Electronic mail ,N
11-2031.00,Public Relations and Fundraising Managers,QuarkXPress,43232112,Desktop publishing ,N
11-2031.00,Public Relations and Fundraising Managers,Slack,43231507,Project management ,N
11-2031.00,Public Relations and Fundraising Managers,SmugMug Flickr,43232102,Graphics or photo imaging ,Y
11-2031.00,Public Relations and Fundraising Managers,zkipster,43231507,Project management ,N
11-3011.00,Administrative Services Managers,ADP Enterprise HRMS,43231505,Human resources ,N
11-3011.00,Administrative Services Managers,Medical procedure coding software,43232610,Medical ,Y
11-3011.00,Administrative Services Managers,Microsoft Windows XP,43233004,Operating system ,N
11-3011.00,Administrative Services Managers,PracticeWorks Systems Kodak WINOMS CS,43232610,Medical ,N
11-3011.00,Administrative Services Managers,Sage 300 Construction and Real Estate,43232306,Data base user interface and query ,N
11-3011.00,Administrative Services Managers,Sage MAS 200 ERP,43231602,Enterprise resource planning ERP ,Y
11-3021.00,Computer and Information Systems Managers,ACT! Premium,43232303,Customer relationship management CRM ,N
11-3021.00,Computer and Information Systems Managers,Adobe Systems Adobe Flex,43232408,Web platform development ,N
11-3021.00,Computer and Information Systems Managers,Advanced business application programming ABAP,43232405,Object or component oriented development ,Y
11-3021.00,Computer and Information Systems Managers,Alpha Four,43232304,Data base management system ,N
11-3021.00,Computer and Information Systems Managers,Apache HTTP Server,43232312,Portal server ,Y
11-3021.00,Computer and Information Systems Managers,Apache Maven,43232402,Development environment ,Y
11-3021.00,Computer and Information Systems Managers,Apache Tomcat,43232408,Web platform development ,Y
11-3021.00,Computer and Information Systems Managers,Apple iWork Numbers,43232110,Spreadsheet ,N
11-3021.00,Computer and Information Systems Managers,Apple iWork Pages,43232104,Word processing ,N
11-3021.00,Computer and Information Systems Managers,Assembler,43232402,Development environment ,N
11-3021.00,Computer and Information Systems Managers,Backbone.js,43232408,Web platform development ,Y
11-3021.00,Computer and Information Systems Managers,Billing software,43231601,Accounting ,N
11-3021.00,Computer and Information Systems Managers,Borland Paradox,43232405,Object or component oriented development ,N
11-3021.00,Computer and Information Systems Managers,C#,43232405,Object or component oriented development ,Y
11-3021.00,Computer and Information Systems Managers,C++,43232405,Object or component oriented development ,Y
11-3021.00,Computer and Information Systems Managers,Cisco Systems WAN Manager,43232909,WAN switching  and firmware,N
11-3021.00,Computer and Information Systems Managers,Common business oriented language COBOL,43232402,Development environment ,Y
11-3021.00,Computer and Information Systems Managers,Corel Office Suite,43231513,Office suite ,N
11-3021.00,Computer and Information Systems Managers,Dartware InterMapper,43232801,Network monitoring ,N
11-3021.00,Computer and Information Systems Managers,Embarcadero Delphi,43232405,Object or component oriented development ,N
11-3021.00,Computer and Information Systems Managers,Enterprise JavaBeans,43232408,Web platform development ,Y
11-3021.00,Computer and Information Systems Managers,File transfer protocol FTP software,43233001,Filesystem ,N
11-3021.00,Computer and Information Systems Managers,Firewall software,43233204,Network security and virtual private network VPN equipment ,N
11-3021.00,Computer and Information Systems Managers,Help desk software,43231501,Helpdesk or call center ,N
11-3021.00,Computer and Information Systems Managers,Hewlett Packard HP-UX,43233004,Operating system ,N
11-3021.00,Computer and Information Systems Managers,IBM iSeries Access,43232915,Platform interconnectivity ,N
11-3021.00,Computer and Information Systems Managers,IBM WebSphere,43232403,Enterprise application integration ,Y
11-3021.00,Computer and Information Systems Managers,Infor ERP Baan,43231602,Enterprise resource planning ERP ,Y
11-3021.00,Computer and Information Systems Managers,Integrated development environment IDE software,43232402,Development environment ,Y
11-3021.00,Computer and Information Systems Managers,K2 Business Process Automation,43232402,Development environment ,N
11-3021.00,Computer and Information Systems Managers,KornShell,43233004,Operating system ,N
11-3021.00,Computer and Information Systems Managers,LAN software,43232905,LAN ,N
11-3021.00,Computer and Information Systems Managers,Langlais Computer Consultants CalMan,43232306,Data base user interface and query ,N
11-3021.00,Computer and Information Systems Managers,Linux,43233004,Operating system ,Y
11-3021.00,Computer and Information Systems Managers,Linux-based email software,43233501,Electronic mail ,N
11-3021.00,Computer and Information Systems Managers,Mac HelpMate,43232901,Access ,N
11-3021.00,Computer and Information Systems Managers,Microsoft .NET Framework,43232402,Development environment ,Y
11-3021.00,Computer and Information Systems Managers,Microsoft Active Server Pages ASP,43232408,Web platform development ,Y
11-3021.00,Computer and Information Systems Managers,Microsoft Business Contact Manager,43232303,Customer relationship management CRM ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Dynamics CRM,43232303,Customer relationship management CRM ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Dynamics NAV,43231602,Enterprise resource planning ERP ,Y
11-3021.00,Computer and Information Systems Managers,Microsoft Entourage,43232108,Calendar and scheduling ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Front Page,43232107,Web page creation and editing ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Office SharePoint Server MOSS,43233503,Network conferencing ,N
11-3021.00,Computer and Information Systems Managers,Microsoft SQL Server Reporting Services SSRS,43232405,Object or component oriented development ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Visual FoxPro,43232311,Object oriented data base management ,N
11-3021.00,Computer and Information Systems Managers,Microsoft Visual Studio,43232402,Development environment ,Y
11-3021.00,Computer and Information Systems Managers,Microsoft Windows Server,43232701,Application server ,N
11-3021.00,Computer and Information Systems Managers,Mobile wireless network infrastructure software,43232910,Wireless ,N
11-3021.00,Computer and Information Systems Managers,MongoDB,43232304,Data base management system ,Y
11-3021.00,Computer and Information Systems Managers,Netscape Navigator,43232705,Internet browser ,N
11-3021.00,Computer and Information Systems Managers,Node.js,43232408,Web platform development ,Y
11-3021.00,Computer and Information Systems Managers,Objective C,43232405,Object or component oriented development ,Y
